Tanggal Berita,Judul,Penulis Berita,Isi Berita,Kategori,Link Berita
26-Apr-20,Aaliyah Massaid Sumbang Lagu untuk Pejuang Covid-19,"Adiyoga Priambodo,          Jurnalis&CenterDotMinggu 26 April 2020 10:01 WIB","  JAKARTA - Aaliyah Massaid mengikuti jejak para musisi yang menyumbangkan karya mereka bagi pejuang Covid-19. Lagu berjudul Saling Peduli Aaliyah siapkan bagi tenaga medis yang berada di garda terdepan penanganan pandemi.  “Lagu ini sengaja untuk apresiasi, bentuk dukungan untuk tim medis dan semua yang berjuang melawan Covid-19,” ungkapnya.   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); Aaliyah dalam lanjutannya mengatakan, hanya lewat karya dirinya bisa membantu meringankan beban tenaga medis yang terjun menangani Covid-19. Sebagai musisi, nurani Aaliyah terpanggil untuk terjun memberikan dukungan bagi mereka meski tidak secara langsung.   Baca Juga: Sisi Positif PSBB Versi Aaliyah Massaid “Gimana caranya aku bisa kasih reward. Mungkin karena aku musisi jadi aku lewat lagu,” kata gadis 18 tahun.  Nantinya, hasil penjualan lagu Saling Peduli akan sepenuhnya Aaliyah donasikan bagi kebutuhan tenaga medis di Tanah Air.  “Nanti dananya itu untuk donasi kepada yang membantu ini,” jelasnya.                                                     (edh)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				            BERITA FOTO          + 9   Potret Aaliyah Massaid yang Gemar Pose Pamer Punggung Aaliyah mengenakan baju renang berwarna hijau. (Foto: Instagram @aaliyah.massaid)              #Aaliyah Massaid  #Corona  #Musik  #Artis Indonesia    ",Musik,https://celebrity.okezone.com/read/2020/04/26/205/2205001/aaliyah-massaid-sumbang-lagu-untuk-pejuang-covid-19
26-Apr-20,"Karantina Diri, Justin Bieber Produktif Ciptakan Lagu","Adiyoga Priambodo,          Jurnalis&CenterDotMinggu 26 April 2020 09:07 WIB","  LOS ANGELES - Masa karantina akibat pandemi corona tidak membuat penyanyi Justin Bieber mati gaya. Setidaknya, selama masa karantina dan lockdown, Justin Bieber masih bisa produktif.  Justin mengungkapkan bahwa dirinya tengah mempersiapkan sesuatu yang istimewa di tengah masa karantina.   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); ""Kami sedang mengerjakan sesuatu yang sangat istimewa sekarang. Bersiaplah,"" kata Justin Bieber seperti dikutip Aceshowbiz.  Baca Juga: Ngobrol Bareng Justin Bieber, Gempi Tersipu Malu   Ya, suami Hailey Baldwin ini mengaku tengah mempersiapkan lagu dan juga mempersiapkan diri untuk kembali ke atas panggung dan menggelar konser bila keadaan sudah membaik.  ""Semoga ketika ini semua (pandemi Covid-19) sedikit tenang, kita akan dapat merilis beberapa hal baru. Dan pergi tur, jadi aku senang untuk itu,"" lanjutnya.  Bagi Justin Bieber, kesehatan adalah hal yang sangat penting, sehingga ia tidak mau gegabah dalam melakukan rilis ataupun konser nantinya.  ""Kesehatan dan keselamatan para penggemar, tim, pemain dan kru saya adalah hal yang paling penting bagi saya. Dunia adalah tempat yang menakutkan tetapi kita semua akan memikirkannya bersama-sama. Kami bertahan pada tanggal-tanggal ini selama kami bisa dan saya tidak sabar untuk melihat kalian semua secara langsung secepat saya bisa,"" tutur Bieber.                                                   (edh)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				            BERITA FOTO          + 4   WADUH! Justin Bieber Batal Konser di Asia File Foto: Penyanyi Justin Bieber tampil pada sebuah acara di Las Vegas, Nevada, Amerika Serikat, 22 Mei 2016. Bieber membatalkan tur konsernya ke sejumlah negara di Asia, yakni Tokyo, Hong Kong, Filipina, Singapura dan terakhir Indonesia, tepatnya di Ancol Park, Jakarta Utara pada 10 Oktober 2017. (REUTERS/Mario Anzuoni)              #Justin Bieber  #Corona  #Karantina  #Hollywood    ",Hot Gossip,https://celebrity.okezone.com/read/2020/04/26/33/2204998/karantina-diri-justin-bieber-produktif-ciptakan-lagu
27-Apr-20,"Sembuh dari Corona, Tom Hanks Usulkan Nama untuk Vaksin","Adiyoga Priambodo,          Jurnalis&CenterDotSenin 27 April 2020 15:04 WIB","  LOS ANGELES - Tom Hanks menjadi artis pertama di dunia yang terjangkit covid-19. Kini, setelah sembuh Tom Hanks pun masih tetap berada di rumah lantaran kebijakan lockdown.  Sembuh dari corona, Tom Hanks dinilai memiliki darah yang imun terhadap virus covid-19. Ia pun berkelakar dan menyarankan agar kelak bila vaksin ditemukan, maka vaksinnya menggunakan namanya.   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); ""Kami akan memberikan darah dan berharap jika penelitian tersebut berhasil. Dan menemukan apa yang ku sebut sebagai the Hank-ccine,"" candanya.   Baca Juga: Tom Hanks Beberkan Istri Merangkak di Lantai karena Corona Namun hal tersebut rupanya hanya candaan Tom Hanks semata.  ""Aku tak mencoba untuk menyimpannya untuk hak cipta. Aku juga tak akan mempatenkannya melalui kantorku,"" tuturnya.  Ya, Tom Hanks termasuk salah satu artis yang sembuh dari jangkitan virus corona.  ""Banyak pertanyaan soal apa yang kini terjadi, kalian tahu? Seperti apa yang kami lakukan sekarang? Apakah ada yang bisa kami bantu?"" ujarnya.                                                    (edh)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				            BERITA FOTO          + 2   Dinyatakan Positif Korona, Tom Hanks Memberi Kabar Terbaru Melalui Akun Instagram Pribadinya Pasangan suami istri Tom Hanks dan Rita Wilson mengabarkan kondisi terbarunya melalui akun instagram pribadinya.               #Tom Hanks  #Covid-19  #Corona  #Hollywood    ",Hot Gossip,https://celebrity.okezone.com/read/2020/04/27/33/2205562/sembuh-dari-corona-tom-hanks-usulkan-nama-untuk-vaksin
27-Apr-20,"Lama Gabut di Rumah, Dinar Candy Ngebet Ingin Menikah","Adiyoga Priambodo,          Jurnalis&CenterDotSenin 27 April 2020 14:09 WIB","  JAKARTA - Dinar Candy sepertinya mulai tidak betah berlama-lama berada di rumah. Baru-baru ini ia memposting tulisan yang membuat ramai netizen tanah air. Dinar Candy mengaku sangat ingin menikah untuk saat ini.  Rupanya kelamaan berada di rumah membuat Dinar Candy tidak betah. Ia pun seolah melampiaskan rasa bosan dengan mengungkapkan perasaan ingin segera menikah.   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); ""Pengen dinikahin sekarang beneran mau dinikahin nggak akan nolak lagi, beneran deh,"" katanya dalam Instagram.  Dinar Candy sepertinya sangat ngebet menikah sehingga ia berjanji tidak akan menolak lamaran dari siapapun yang melamarnya. Baca Juga: Ketakutan, Dinar Candy Minta Netizen untuk Artikan Mimpinya          View this post on Instagram           Beneraaaaaan sekarang gak nolak lagi kalau mau ngelamar!!! A post shared by  Dinar Candy (@dinar_candy) on Apr 25, 2020 at 1:50am PDT  ""Beneran sekarang gak nolak lagi kalau mau ngelamar,"" sambungnya lagi.  Akan tetapi respon netizen sangat mengejutkan. Sebagian besar netizen yang didominasi kaum lelaki justru melihat unggahan Dinar Candy hanya PHP semata.  ""Masalahnya yang mau nikahin cuma PHP gimana? Semoga cepat dapat yang serius ya,"" jelas Wirang.  ""Coba terawang aku nikah kapan ya ka Wirang please,"" terang Dinar.                                                     (edh)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				            BERITA FOTO          + 6   DJ Dinar Candy Tersandung Kasus Judi Online DJ Dinar Candy mendapat panggilan dari pihak kepolisian terkait iklan judi online. (Foto: Instagram @dinar_candy)              #Dinar Candy  #Corona  #Ngebet Nikah  #Artis Indonesia    ",Hot Gossip,https://celebrity.okezone.com/read/2020/04/27/33/2205505/lama-gabut-di-rumah-dinar-candy-ngebet-ingin-menikah
27-Apr-20,"Pamungkas Sedih, Tur Asia Tenggara Terpaksa Batal karena Corona","Adiyoga Priambodo,          Jurnalis&CenterDotSenin 27 April 2020 13:06 WIB","  JAKARTA - Awalnya, tur bertajuk 'Flying Solo Southeast Asia Tour 2020' akan menjadi tur yang takkan terlupakan bagi Pamungkas, namun karena wabah corona merajalela ke seluruh dunia, Pamungkas pun harus bersedih.  Ia terpaksa membatalkan tur Asia Tenggara tersebut lantaran wabah corona yang belum jelas kapan akan berakhir.   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); Kesedihan Pamungkas terlihat dari postingannya di akun instagram.  Baca Juga: Istri Ge Pamungkas Unggah Foto Ciuman, Warganet: Jomblo Bisa Apa?          View this post on Instagram           very sad to confirm that we had to cancel flying solo south east asia tour——— with whats happening now with the world, accommodation is very limited and the possibility to go outside indonesia is tough for now and most likely for the next couple of months. A post shared by  Pamungkas (@pamunqkas) on Apr 26, 2020 at 9:35am PDT  ""Sangat sedih untuk mengkonfirmasi pembatalan dari tur Asean 'Flying Solo'. Dengan apa yang terjadi pada dunia saat ini, akodomasi menjadi sangat terbatas,"" tulisnya.  Pamungkas menjadi artis yang kesekian meraskan dampak corona lantaran tidak bisa bepergian karena pembatasan dan penutupan bandara.  ""Kemungkinan untuk meninggalkan Indonesia sangat sulit saat ini dan sepertinya masih akan berlangsung hingga beberapa bulan ke depan,"" sambung dia.  Ada lima negara yang sebelumnya hendak dikunjungi Pamungkas dalam turnya, yakni Malaysia, Singapura, Thailand, Filipina dan beberapa kota di Indonesia. Namun kini Pamungkas harus sabar menghadapi ujian ini.                                                       (edh)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				            BERITA FOTO          + 5   Iis Dahlia Melayat ke Rumah Duka Ashraf Sinclair Penyanyi dan juga artis Iis Dahlia melayat ke rumah duka Ashraf Sinclair di kawasan Pasar Minggu, Jakarta Selatan, Selasa 18 Februari 2020.              #Pamungkas  #Corona  #Tur Musik  #Artis Indonesia    ",Musik,https://celebrity.okezone.com/read/2020/04/27/205/2205474/pamungkas-sedih-tur-asia-tenggara-terpaksa-batal-karena-corona
Tidak Ditemukan,"Sediakan Makanan di Depan Rumah, Via Vallen Kembali Tebar Kebaikan","Vania Ika Aldida,          Jurnalis&CenterDotSenin 27 April 2020 12:00 WIB","  JAKARTA - Pedangdut Via Vallen kembali menunjukkan kepeduliannya kepada warga sekitar. Sebelumnya, ia diketahui sempat membagikan sembako dari satu rumah ke rumah lain, dan memberi makan orang-orang dijalan.  Pada momen bukan suci Ramadan ini, pelantun Sayang tersebut kembali mencoba untuk menebar kebaikan dengan memberikan makanan gratis yang diletakkan di depan kediamannya.   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); Dalam video CCTV yang ia unggah di akun Instagramnya, nampak masyarakat berbondong-bondong datang dengan berjalan kaki ataupun menggunakan motor, dan mengambil bungkusan tersebut.  Baca Juga: Tetap Berbagi di Tengah Pandemi, Via Vallen Tuai Pujian Warganet    ""Bismillahh, dengan tidak mengurangi rasa hormatt,"" tulis Via Vallen pada keterangan video.  ""Di mulaii darii hal kecill..... Semoga sedikit bermanfaat,"" lanjutnya.  Menariknya, para warga nampak terlihat tertib dan tak serakah, dengan hanya mengambil satu bungkus saja makanan yang disajikan. Hal tersebut sontak membuat kagum para netizen, dan memuji perilaku warga sekitar kediaman Via dan juga sikap wanita 28tahun tersebut.  ""Alhamdulillah org nya pada disiplin,ngambilnya pun satu2. seneng banget... Semoga rejekinya di + kali2 lipat @viavallen  Aamiin ya Allah,"" tulis ummurismarisda86.  ""Alhamdulillah semoga berkah dan bermanfaat,"" tulis wulann_id2.  ""Aku menangis liat ini.. aku terharu.. semogabyg membri di brikab rejeki yg melimpah dan dibrikan kesehatan sllu,"" tulis greace.laytan.9.                                                    (edh)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				            BERITA FOTO          + 6   Via Vallen Bawakan Ddu-Du Ddu-Du versi Dangdut di HUT GTV Amazing 17 Via Vallen tampil pada puncak perayaan ulang tahun GTV bertajuk Amazing 17.              #Via Vallen  #Donasi  #Corona  #Artis Indonesia    ",Hot Gossip,https://celebrity.okezone.com/read/2020/04/27/33/2205349/sediakan-makanan-di-depan-rumah-via-vallen-kembali-tebar-kebaikan
27-Apr-20,"Melahirkan saat Pandemi Covid-19, Chacha Frederica Tak Boleh Dibesuk","Adiyoga Priambodo,          Jurnalis&CenterDotSenin 27 April 2020 07:00 WIB","  JAKARTA - Proses persalinan Chacha Frederica yang berlangsung ditengah pandemi Covid-19 membuatnya tidak bisa dibesuk. Hal itu disampaikan suami Chacha, Dico Ganindito.  “Kondisi lagi pandemi gini enggak boleh dibesuk sama sekali, termasuk dari keluarga dan kerabat,” kata dia.   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); Meski situasi tersebut kurang mengenakkan bagi mereka, Dico tetap bersyukur. Dengan adanya larangan membesuk, Dico merasa sang istri jadi punya lebih banyak waktu untuk beristirahat.   Baca Juga: Lahiran Anak Pertama, Penantian 4 Tahun Chacha Frederica Terbayarkan “Alhamdulillah kami bersyukur saja, jadi recovernya jauh lebih baik. Karena enggak ada yang banyak ajak ngobrol,” ujarnya.  Dico juga mengatakan, larangan membesuk Chacha membuat mereka bisa benar-benar fokus mengurus kebutuhan sang buah hati.  “Jadi kita fokus gimana bayinya bisa menjalankan apa yang harus dijalankan. Harus disusuin kan bayinya. Jadi kami berdua bisa fokus urus bayi,” pungkas dia.                                                     (edh)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				            BERITA FOTO          + 5   Berhijab, Chacha Frederica Makin Terlihat Cantik Artis Chacha Frederica tersenyum saat konferensi pers Luna Habit Fashion Show di Hotel Fairmont, Jakarta, Minggu 20 Mei 2018.               #Chacha Frederica   #Corona  #Melahirkan  #Artis Indonesia    ",Hot Gossip,https://celebrity.okezone.com/read/2020/04/27/33/2205303/melahirkan-saat-pandemi-covid-19-chacha-frederica-tak-boleh-dibesuk
26-Apr-20,"Mudik, Keinginan Pertama Dewi Perssik saat Pandemi Covid-19 Berakhir","Adiyoga Priambodo,          Jurnalis&CenterDotMinggu 26 April 2020 15:45 WIB","  JAKARTA - Dewi Perssik mengungkap keinginan pertamanya setelah pandemi Covid-19 berakhir. Wanita yang biasa disapa Depe mengaku ingin kembali ke kampung halaman untuk bertemu keluarga.  “Kalau wabah selesai dan pergi, kita bisa ketemu keluarga dan mudik,” ujarnya.   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); Penerapan pembatasan aktivitas di luar rumah selama pandemi Covid-19 membuat Dewi Perssik rindu bersosialisasi. Tak hanya kepada keluarga, melainkan juga dengan orang-orang terdekat.  Baca Juga: Hmm..Ruben Onsu Enggan Bocorkan Tanggal Pernikahan Dewi Perssik   “Kita bisa silaturahmi dengan yang lain,” kata dia.  Apalagi selama Ramadhan, kegiatan yang berkaitan dengan ibadah juga dilarang bila berpotensi menimbulkan kerumunan.  “Pandemi ini kan enggak bisa kita buka puasa bersama, tarawih bersama dengan sahabat,” imbuh Depe.  Istri Angga Wijaya hanya bisa berharap pandemi Covid-19 di Tanah Air bisa segera ditangani agar aktivitas warga kembali normal.  “Saya berdoa kepada Allah semoga bulan suci Ramadan bisa menghilangkan wabah yang menimpa seluruh dunia, Covid-19. Yang sakit jadi sembuh dan yang sembuh dilindungi Allah dari segala penyakit. Sehingga bisa menjalankan ibadah dengan baik dan diterima Allah,” pungkasnya.                                                    (edh)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				            BERITA FOTO          + 10   Potret Kebersamaan Dewi Perssik dengan Lebby Wilayati Lebby Wilayati dan Dewi Perssik tampil kompak dengan busana merah pada sesi pemotretan. (Foto: Instagram @lebbywilayati)              #Dewi Persik  #Dewi Perssik  #Corona  #Artis Indonesia    ",Hot Gossip,https://celebrity.okezone.com/read/2020/04/26/33/2205134/mudik-keinginan-pertama-dewi-perssik-saat-pandemi-covid-19-berakhir
26-Apr-20,"Terungkap, Alasan Zaskia Gotik Menikah ditengah Pandemi Covid-19","Adiyoga Priambodo,          Jurnalis&CenterDotMinggu 26 April 2020 11:31 WIB","  JAKARTA - Suami Zaskia Gotik, Sirajuddin Mahmud membeberkan alasan tetap meminang sang pedangdut ditengah pandemi Covid-19. Sirajuddin mengaku tak ingin hubungan mereka menimbulkan fitnah apabila tidak segera diresmikan. “Kita enggak berani ambil resiko dan enggak mau juga banyak statement atau opini yang enggak baik berkembang di luar. Kita intinya menghindari fitnah,” ujarnya.   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); Ditambah lagi menurut Sirajuddin, belum ada kepastian mengenai kapan pandemi Covid-19 berakhir. Sehingga bila harus menunda pernikahan, sang pengusaha khawatir rencananya meminang Gotik tidak kunjung terlaksana.   Baca Juga: Menikah, Intip Unggahan Perdana Zaskia Gotik setelah Punya Suami “Kita lihat situasi Covid-19 ini enggak pasti,” kata dia. Sirajuddin Mahmud meminang Zaskia Gotik secara agama pada 22 April 2020. Pernikahan keduanya berlangsung di kediaman Gotik di kawasan Cikarang, Jawa Barat. Rencananya, Sirajuddin Mahmud akan segera melengkapi persyaratan guna mendaftarkan pernikahan dengan Zaskia Gotik ke KUA setempat. “Untuk (menikah) secara negara, prosesnya Insya Allah Senin besok. Kita sampaikan untuk persyaratan tambahan,” pungkas nya. (edh)                                                    (kem)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				            BERITA FOTO          + 5   Pesona Imel Putri Cahyati, Mantan Istri Suami Zaskia Gotik Imel saat mengenakan hijab bercorak.              #Zaskia Gotik  #Corona  #menikah  #Artis Indonesia    ",Hot Gossip,https://celebrity.okezone.com/read/2020/04/26/33/2205036/terungkap-alasan-zaskia-gotik-menikah-ditengah-pandemi-covid-19
Tidak Ditemukan,Aaliyah Massaid Sumbang Lagu untuk Pejuang Covid-19,"Adiyoga Priambodo,          Jurnalis&CenterDotMinggu 26 April 2020 10:01 WIB","  JAKARTA - Aaliyah Massaid mengikuti jejak para musisi yang menyumbangkan karya mereka bagi pejuang Covid-19. Lagu berjudul Saling Peduli Aaliyah siapkan bagi tenaga medis yang berada di garda terdepan penanganan pandemi.  “Lagu ini sengaja untuk apresiasi, bentuk dukungan untuk tim medis dan semua yang berjuang melawan Covid-19,” ungkapnya.   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); Aaliyah dalam lanjutannya mengatakan, hanya lewat karya dirinya bisa membantu meringankan beban tenaga medis yang terjun menangani Covid-19. Sebagai musisi, nurani Aaliyah terpanggil untuk terjun memberikan dukungan bagi mereka meski tidak secara langsung.   Baca Juga: Sisi Positif PSBB Versi Aaliyah Massaid “Gimana caranya aku bisa kasih reward. Mungkin karena aku musisi jadi aku lewat lagu,” kata gadis 18 tahun.  Nantinya, hasil penjualan lagu Saling Peduli akan sepenuhnya Aaliyah donasikan bagi kebutuhan tenaga medis di Tanah Air.  “Nanti dananya itu untuk donasi kepada yang membantu ini,” jelasnya.                                                     (edh)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				            BERITA FOTO          + 9   Potret Aaliyah Massaid yang Gemar Pose Pamer Punggung Aaliyah mengenakan baju renang berwarna hijau. (Foto: Instagram @aaliyah.massaid)              #Aaliyah Massaid  #Corona  #Musik  #Artis Indonesia    ",Musik,https://celebrity.okezone.com/read/2020/04/26/205/2205001/aaliyah-massaid-sumbang-lagu-untuk-pejuang-covid-19
26-Apr-20,"Karantina Diri, Justin Bieber Produktif Ciptakan Lagu","Adiyoga Priambodo,          Jurnalis&CenterDotMinggu 26 April 2020 09:07 WIB","  LOS ANGELES - Masa karantina akibat pandemi corona tidak membuat penyanyi Justin Bieber mati gaya. Setidaknya, selama masa karantina dan lockdown, Justin Bieber masih bisa produktif.  Justin mengungkapkan bahwa dirinya tengah mempersiapkan sesuatu yang istimewa di tengah masa karantina.   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); ""Kami sedang mengerjakan sesuatu yang sangat istimewa sekarang. Bersiaplah,"" kata Justin Bieber seperti dikutip Aceshowbiz.  Baca Juga: Ngobrol Bareng Justin Bieber, Gempi Tersipu Malu   Ya, suami Hailey Baldwin ini mengaku tengah mempersiapkan lagu dan juga mempersiapkan diri untuk kembali ke atas panggung dan menggelar konser bila keadaan sudah membaik.  ""Semoga ketika ini semua (pandemi Covid-19) sedikit tenang, kita akan dapat merilis beberapa hal baru. Dan pergi tur, jadi aku senang untuk itu,"" lanjutnya.  Bagi Justin Bieber, kesehatan adalah hal yang sangat penting, sehingga ia tidak mau gegabah dalam melakukan rilis ataupun konser nantinya.  ""Kesehatan dan keselamatan para penggemar, tim, pemain dan kru saya adalah hal yang paling penting bagi saya. Dunia adalah tempat yang menakutkan tetapi kita semua akan memikirkannya bersama-sama. Kami bertahan pada tanggal-tanggal ini selama kami bisa dan saya tidak sabar untuk melihat kalian semua secara langsung secepat saya bisa,"" tutur Bieber.                                                   (edh)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				            BERITA FOTO          + 4   WADUH! Justin Bieber Batal Konser di Asia File Foto: Penyanyi Justin Bieber tampil pada sebuah acara di Las Vegas, Nevada, Amerika Serikat, 22 Mei 2016. Bieber membatalkan tur konsernya ke sejumlah negara di Asia, yakni Tokyo, Hong Kong, Filipina, Singapura dan terakhir Indonesia, tepatnya di Ancol Park, Jakarta Utara pada 10 Oktober 2017. (REUTERS/Mario Anzuoni)              #Justin Bieber  #Corona  #Karantina  #Hollywood    ",Hot Gossip,https://celebrity.okezone.com/read/2020/04/26/33/2204998/karantina-diri-justin-bieber-produktif-ciptakan-lagu
25-Apr-20,"Gara-Gara Teh Thailand, Caesar Hito Sesak Napas dan Takut Corona","Lintang Tribuana,          Jurnalis&CenterDotSabtu 25 April 2020 17:01 WIB","  JAKARTA - Kekasih Felicya Angelista, Caesar Hito mendapatkan pengalaman kurang mengenakkan. Belum lama ini ia merasakan sakit di tenggorokannya.  Caesar Hito mengaku dirinya sempat ketakutan saat mengalami sakit tenggorokan lantaran saat ini virus corona tengah mewabah dan memiliki gejala yang sama dengan dirinya.   googletag.cmd.push(function() { googletag.display(""div-gpt-ad-1510661249458-0""); }); Akan tetapi, ketakutan Caesar Hito langsung sirna begitu ia mengetahui bahwa dirinya sakit tenggorokan karena mengkonsumsi teh khas Thailand.  Baca Juga: Sesak Napas, Caesar Hito Sempat Khawatir Terpapar COVID-19   ""Sempat ada (paranoid). Kok tiba-tiba napasnya kayak kecekek gini ya ternyata malam sebelumnya aku minum kayak Thai Tea gitu dan katanya dokter itu efek dari Thai Tea,"" ujarnya.  Mengetahui apa yang dialaminya tidak berhubungan dengan corona membuat Caesar Hito pun lega.  ""Aku periksa sampe ke dokter karena lagi rame-ramenya kan, takutnya kena dan ngerugiin yang lain. Makanya aku ke dokter aja,"" paparnya.  Caesar Hito termasuk salah satu artis yang mengalami dampak dari wabah corona. Ia pun kini memilih berdiam diri di rumah demi menghindari terjangkit virus covid-19.  ""Harus di rumah nunggu putusan dari pemerintah baru kantor yang kasih tahu kapan bisa syuting. Cuma ya sekarang ya enggak apa-apa lah di rumah dulu karena udah lama ngabisin waktu di luar,"" tutupnya.                                                      (edh)    				(function() { 				var pa = document.createElement('script'); pa.type = 'text/javascript'; pa.charset = ""utf-8""; pa.async = true; 				pa.src = window.location.protocol + ""//api.popin.cc/searchbox/okezone.js""; 				var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(pa, s); 				})();  				            BERITA FOTO          + 5   Jay-Z & Kanye West Boyong Tiga Piala Grammy Awards Jay-Z memboyong tiga piala di ajang Grammy Awards 2013 yang berlangsung di Staples Centre, Los Angeles, Amerika Serikat.              #Caesar Hito  #Teh Thailand  #Corona  #Artis Indonesia    ",Hot Gossip,https://celebrity.okezone.com/read/2020/04/25/33/2204808/gara-gara-teh-thailand-caesar-hito-sesak-napas-dan-takut-corona
